Auction #,Bidder 1,Bidder 2
306,6.199840601,6.178456844
307,5.938053838,5.034895931
308,8.985040057,9.657635966
309,5.708545645,9.243089161
310,6.494390086,8.388983589
311,6.096782805,5.495357031
312,8.17479489,8.733854443
313,5.606363687,5.472440635
314,6.722071658,7.059272272
315,8.393635858,9.444734043
316,5.373175315,5.779145784
317,7.814986301,9.365214395
318,8.877913027,9.982752729
319,7.648545501,7.658572781
320,8.260206495,6.365482247
321,5.826906055,7.307556954
322,7.109023464,9.905902108
323,8.424854915,6.28660553
324,9.907271881,6.928201187
325,7.804494175,7.783273244
326,9.626558613,6.365361729
327,5.934354852,5.530215287
328,8.420965823,8.380326606
329,8.589927132,5.872690362
330,5.64233272,9.435518421
331,9.821940671,6.453764025
332,7.679884087,6.49702678
333,8.953185008,8.903030107
334,7.764632327,5.356345365
335,6.405488719,6.97022203
336,6.16714218,7.867391575
337,6.384321838,6.018189612
338,8.575842506,8.716956737
339,5.7449029,6.716038297
340,7.123088331,6.228638638
341,9.850071743,7.557616657
342,8.434421598,8.994097513
343,8.646935513,5.6360074
344,5.351618604,7.452618274
345,5.168091714,7.185454512
346,8.113215646,5.013068626
347,6.104681014,6.294452377
348,8.551998964,7.252253695
349,7.885864827,8.832462522
350,6.074499084,9.855048901
351,6.199471686,6.668249522
352,6.438993548,8.488758697
353,7.553086695,5.123321217
354,7.515066109,9.764751732
355,5.376769403,6.003307002
356,5.79384779,6.396664593
357,7.306559631,9.155992482
358,7.750697137,9.457938007
359,9.86387592,6.006099477
360,5.176038225,7.228262353
361,5.088874031,9.424563785
362,6.01687752,7.64909509
363,7.817281879,8.817387984
364,8.698639449,6.842325743
365,6.187513891,5.464131606
366,9.601706897,5.53298514
367,7.941861278,7.553483107
368,8.854649814,8.415748911
369,7.606539761,8.766805422
370,8.995996188,7.555535376
371,7.399270719,6.935028945
372,9.935618219,5.612132646
373,7.544086737,6.062798478
374,9.060245942,5.928005504
375,8.469442512,7.972697116
376,5.802323964,5.403445443
377,9.409585842,5.359383402
378,6.085965812,6.419339155
379,6.575523585,5.755693395
380,5.749222119,5.482732926
381,9.446010702,9.512557287
382,8.904308861,7.983914634
383,8.482024419,9.668080902
384,8.810196071,6.792522288
385,5.248795857,9.472350364
386,6.373585274,5.906078297
387,7.103214864,7.968495611
388,7.520765864,8.24426878
389,6.292065152,7.245485453
390,9.820101817,5.843833291
391,5.393042459,5.494439135
392,9.763914535,6.60760349
393,8.106124092,5.876455269
394,5.40005505,5.737962725
395,5.675186112,7.630115824
396,9.977432164,9.452313908
397,9.619260933,6.639174375
398,5.651111895,5.232669123
399,7.793588135,9.76365137
400,7.115747151,9.584641168
401,6.829078372,6.695218233
402,7.49588519,8.239427723
403,5.965976414,7.571813088
404,6.627851919,7.608534416
405,7.560976772,7.766575554
406,7.06830006,9.06067378
407,9.85604262,5.016766773
408,5.880283082,8.860659234
409,5.397703277,6.558914439
410,6.036377073,5.343379174
411,7.510053569,6.118047643
412,6.324854886,5.561429702
413,7.722784204,8.649367496
414,5.269851536,7.336132135
415,6.317017587,7.830355257
416,5.235986666,7.710665543
417,9.104579694,9.64252103
418,8.455704444,7.934318241
419,5.553672057,7.414491706
420,6.104313237,7.798260292
421,9.437832056,5.994368422
422,6.882120009,8.844521664
423,6.373337455,7.022836607
424,6.844128879,9.037512462
425,5.931002852,7.655815781
426,6.366120521,8.69146491
427,6.319065084,7.621004271
428,5.063982348,8.405531443
429,6.342832607,9.316808456
430,5.082074197,6.751716998
431,8.368394026,5.319246929
432,5.907378127,7.351896754
433,6.017243681,6.140712204
434,9.439888516,6.074482833
435,6.127358281,9.275653727
436,8.567945225,8.940295762
437,6.797875774,5.756442617
438,6.283272118,6.388200964
439,7.152421854,6.263038867
440,7.869605216,5.942959228
441,5.704752629,7.923513259
442,8.965427843,7.201899629
443,7.287863208,5.645446503
444,6.311762851,8.713667548
445,5.769948402,7.926404968
446,8.791935748,8.880924167
447,7.60441345,7.398922636
448,7.633569006,9.482317107
449,7.320241639,5.582317551
450,9.705999161,7.866456057
451,9.850179855,7.756205115
452,9.589214814,7.661060494
453,7.405345122,6.39108193
454,8.052038105,9.253447589
455,7.315086702,6.086433076
456,9.976852351,6.170440115
457,8.985417063,5.925969676
458,5.762382225,9.290314525
459,6.63192023,5.080986939
460,7.316232536,6.887728471
461,7.709068358,6.090233355
462,8.099944126,8.165823835
463,6.652327853,5.680091266
464,9.542012324,5.074932633
465,8.495881061,6.675957498
466,6.761029827,9.679043291
467,7.539919015,8.601638424
468,8.656886364,7.253357416
469,8.846799561,5.135128736
470,9.366684272,5.696130011
471,5.876819047,9.758764451
472,8.556182359,9.959733479
473,7.501185763,6.805679592
474,7.163221732,7.439876617
475,6.986223861,8.76045919
476,6.043160822,8.350362568
477,6.512151961,7.831225031
478,7.59259048,7.67787579
479,9.230130769,8.702535507
480,5.404172314,5.408990649
481,8.815219232,8.740887992
482,5.024848537,5.369548068
483,6.57626016,7.608629149
484,6.411859762,7.761974795
485,6.761941107,6.733804531
486,5.717033227,7.529424241
487,8.741077192,5.123987641
488,9.857207749,6.327433255
489,7.938250775,9.622658246
490,8.931866435,9.455107545
491,7.774984097,5.924970357
492,8.036146342,9.442068037
493,8.692727215,7.778206786
494,7.154988603,8.725792893
495,8.440212032,8.731918402
496,9.253268651,7.020761263
497,8.327624923,5.01988798
498,5.191421362,6.268710233
499,9.571411388,5.405738991
500,6.955093554,5.800306005
